Headline,Body ID,Stance
This melting and refreezing builds up a layer of ice that contributes to the strength of the igloo.,45,unrelated
"In some cases, SETI@home users have misused company resources to gain work-unit results&#160;— with at least two individuals getting fired for running SETI@home on an enterprise production system.",46,unrelated
"On 17 February 2013, Briers died, followed three days later by animator Godfrey.",47,unrelated
He died on 20 December 2009.,48,unrelated
"Accession negotiations with the EU, scheduled to start on 17 March 2005, were postponed pending a resolution of the issue.",49,unrelated
"By the end of 2000, Serbia thus became the host of 700,000 Serb refugees or internally displaced from Kosovo, Croatia and Bosnia.",50,unrelated
"From here the River Axe rises up from a deep sump where progressive depth records for cave diving in the British Isles have been set: firstly by Farr (45&#160;m or 148&#160;ft) in 1977, then Rob Parker (68&#160;m or 223&#160;ft) in 1985, and finally by John Volanthen and Rick Stanton (76&#160;m or 249&#160;ft) in 2004.",51,unrelated
"The inspection report also praised a number of areas of the prison including the healthcare department, the prison drugs strategy and programmes for reducing offending behaviour.",52,unrelated
It is alleged that ESS may have improperly obtained confidential information concerning a three-year contract to supply food and water to UN peacekeepers in Liberia.,53,unrelated
One has been vandalised briefly with graffiti.,54,unrelated
"One woman described the locals as ""panicked"".",55,unrelated
"The hearings were concluded in November 2004, and the report was published 15 June 2010.",56,unrelated
Some children were never reunited with their families.,57,unrelated
The Wedgwood medallion was the most famous image of a black person in all of 18th-century art.,58,unrelated
"The memorial was deep-cleaned, weathered joints were replaced, fresh gold leaf has been applied to the finial, and the county crest and bronze flags above the plaque have been restored .",59,unrelated
"It was his 18th PGA Tour victory, and his second in as many starts.",60,unrelated
"He maintained he had not claimed the money but agreed it had not been ""positively excluded"" from paperwork submitted to the Commons Fees Office.",61,unrelated
Early models were very expensive and Nokia did not adopt the traditional clamshell phone design until 2004.,62,unrelated
"The poem elaborates on the severity of toothache, describing it as the ""hell o' a' diseases"" (hell of all diseases).",63,unrelated
"The incentive would cost the Northern Ireland Executive £480m over 20 years, and was marred by allegations of fraud, which were not acknowledged or acted upon by Foster or the DUP.",64,unrelated
"Due to the events of the night, the planned eviction for Day 22 was postponed until the following week; Daniel and Vanessa still remained nominated for eviction.",65,unrelated
These constituted only a few trains an hour and left the station underused.,66,unrelated
"In a recording discovered and released in 2008, Christie revealed the reason for this: ""Hercule Poirot, a complete egoist, would not like being taught his business or having suggestions made to him by an elderly spinster lady"".",67,unrelated
The event raised over £27m for charitable causes.,68,unrelated
It turns out the year is some time after 2164.,69,unrelated
"White House sources stated that ""both Israel and the Palestinians had signed up to the proposal"".",70,unrelated
"On 12 December 2011, he announced his retirement from Test Rugby.",71,unrelated
"No formal cause of death was given, but McMahon's publicist attributed his death to the many health problems he had suffered over his final months.",72,unrelated
"He admitted the decision was difficult, due to Wimbledon being very local for him, whilst he had to travel ""quite far"" to Milton Keynes.",73,unrelated
He was inaugurated and formally appointed as King on 29 October 2004.,74,unrelated
Club chairman Chris Taylor subsequently said the club had no plans to sell the trophy.,75,unrelated
"On hearing that the Dutch lady announcing the Netherlands' votes had previously been a contestant in Eurovision, Jonsson replied, ""A long time ago, was it?"" which was followed by much laughter from the audience.",76,unrelated
"The conductor, Benjamin Levy, directed a large group of singers and musicians, mostly young and local.",77,unrelated
"In the remake the dog's name is ""Digger"".",78,unrelated
"The board chose to interpret this as a resignation, and on 26 October Megson was dismissed.",79,unrelated
"He posted this on a website and caught the attention of a Swedish television researcher, who convinced Daniel to perform the sound live on air.",80,unrelated
"As a former low paid worker who had been sacked upon asking for a pound pay rise after having a child, McCartney later described the minimum wage as very important to him saying that he would have ""died in the ditch"" for it.",81,unrelated
"Later, Zehri said that he had been misquoted.",82,unrelated
An appeal against Chambers' conviction was successful.,83,unrelated
His right not to testify was upheld in 2001 by Nigeria's court of appeal which ruled that the panel did not have the power to summon former rulers of the country.,84,unrelated
"Shipman had refused to take part in courses leading toward a full confession of his crimes, leading to temporary removal of privileges, including the opportunity to telephone his wife.",85,unrelated
"Japan's access to Alaskan waters was later phased out anyway, due in part to pressure from US fishermen and conservationists, and also in response to Japan's subsequent use of research whaling.",86,unrelated
"The fence will discharge an electric shock, but is not dangerous to humans or animals.",87,unrelated
"He died on 8 March 2013, aged 90.",88,unrelated
"He is also a member of a parliamentary rock band MP4 with fellow politicians Ian Cawsey, Pete Wishart and Greg Knight.",89,unrelated
This in turn led Venezuela to again recall its diplomat from Peru.,90,unrelated
"At the same time, he said he still believed in the Iraq invasion was right because ""the prize of a stable Iraq was worth striving for"".",91,unrelated
The geoduck is the largest burrowing clam in the world.,92,unrelated
"It is alleged that Peter pressed his wife to return this money – however, he did not inform the proper authorities about the large monetary transactions, which is a breach of his duty and responsibility as First Minister of Northern Ireland.",93,unrelated
She had previously been an actress and a model.,94,unrelated
"However, none of these cartoons could come close to matching the success of Disney or Fleischer cartoons, and in 1933, MGM, Iwerks' cartoon distributor since 1930, ended distribution of his cartoons in favor of distributing Harman and Ising cartoons, and Iwerks left after his contract expired in 1934.",95,unrelated
Amnesty International has urged Japan to reform its police interrogation methods.,96,unrelated
"She was also convicted of adultery on the grounds that her marriage to a Christian man from South Sudan was void under Sudan's version of Islamic law, which says Muslim women cannot marry non-Muslims.",97,unrelated
"The space craft docked with the International Space Station (ISS) on Wednesday September 20, 2006, at 05:21 (UTC).",98,unrelated
He was 42 years old.,99,unrelated
The 2008 Labour Party Conference was the first at which affiliated trade unions and Constituency Labour Parties did not have the right to submit motions on contemporary issues that would previously have been debated.,100,unrelated
"At the height of the crisis in May 1990, he attempted to refute the growing evidence for BSE/Creutzfeldt–Jakob disease by feeding his 4-year-old daughter a burger before press cameras.",101,unrelated
"The drama, which begins filming in and around Glasgow, will be directed by Michael Offer.",102,unrelated
During his visit he announced an extension of the mandate of the UN forces in Haiti.,103,unrelated
He was City's first manager from outside the United Kingdom.,104,unrelated
Coast Guard to arrange relief supplies.,105,unrelated
"The Wilts &amp; Berks Canal was abandoned in 1914 and its route south and east of Melksham has been built over; preservation and restoration efforts began in 1977 and in 2012 a planning application was submitted for a new section of canal (called the Melksham Link) to connect the Semington junction, via Berryfield, with the Avon below Melksham.",106,unrelated
Edwards died fortnight later.,107,unrelated
These allegations were denied by the British army and the director of Basra's veterinary hospital.,108,unrelated
"Against Bovina, Clijsters’ picked up a minor shoulder injury.",109,unrelated
The five people on board were taken to a hospital with four receiving minor injuries.,110,unrelated
"The Communications Minister of Cameroon, Issa Tchiroma, denied the allegation of persecution of homosexuals.",111,unrelated
"Nokia-Siemens later divested its call monitoring business, and reduced its activities in Iran.",112,unrelated
Funding for the deal comes from 8000+ people donating cash via a monthly direct debit.,113,unrelated
"The mint closed down during the Civil War, but served as a warehouse for storing silver and lead.",114,unrelated
"He did however score his first and only Chelsea goal this season, in the 3–1 Champions League win over Porto.",115,unrelated
"This came when he won the men's keirin, the men's team sprint and also the men's individual sprint.",116,unrelated
Zakai was accused of leaking reports to the media that the IDF wanted to end the operation before the political echelon did.,117,unrelated
"He jointly holds the record for the fewest votes recorded for a candidate in a British by-election, taking five at a by-election in 1982.",118,unrelated
"In response to the lawsuit, Muddy Waters stated that Sino's bankruptcy protection filing vindicated its accusations since the company would not require bankruptcy protection if it was really generating close to $2&#160;billion in cash flow.",119,unrelated
This led to an overall drop in tourism in the area.,120,unrelated
The Caterham dealership closed after the premises were sold for development and the showroom relocated to temporary facilities in Crawley.,121,unrelated
"He scored once for Stoke, in a 3–1 win over Norwich City.",122,unrelated
"Created by Lydia Karpinska, it depicts Winton sitting on a bench and reading a book.",123,unrelated
The right of Welsh clubs to take up such English places was in doubt until UEFA clarified the matter in March 2012.,124,unrelated
It also sees continued use as an embedded OS in retail cash tills.,125,unrelated
"In Sa-Nur, the synagogue was left intact, but was buried under mounds of sand by bulldozers to prevent its destruction by the Palestinians.",126,unrelated
"Green came to national prominence in November 2008 after being arrested and having his parliamentary office raided by police, although no case was brought.",127,unrelated
It is the first time since the start of multi-party democracy in 1991 that a ruling party had been forced into a coalition through not winning enough seats on its own.,128,unrelated
"Soon afterward, the pilot of an Armenian plane crossing the sea nearby reported seeing the Russian plane explode before it crashed into the sea about 1:45 PM Moscow time (9:45 AM GMT).",129,unrelated
"Koizumi's last visit as prime minister was on August 15, 2006, fulfilling a campaign pledge to visit on the anniversary of Japan's surrender in World War II.",130,unrelated
"According to the BBC he ""won some of the most prestigious prizes in Hispanic literature"" and ""became very influential in the literary world throughout Latin America"".",131,unrelated
We expect a solution that will be presented to us for the month of March.,132,unrelated
"Over the summer, the club appointed Italian former agent Roberto De Fanti as the club's first director of football.",133,unrelated
"He was re-elected as Speaker, unopposed, when the House sat at the start of the new parliament on 18 May 2015.",134,unrelated
"Ardeshir Naghshineh criticised the plan, recommending instead that the company sell some of the stores to raise more funds.",135,unrelated
Farthing was separated from his wife at the time.,136,unrelated
"Koizumi did not announce any particular timing for the legislation to be introduced, nor did he provide details about its content, but said that it would be in line with the conclusions of the 2005 government panel.",137,unrelated
"It also includes live ATC, arrival and departure boards, and a live flightradar.",138,unrelated
"The chairman of the Official Charts Company said it would provide ""insight into how the race for number one is shaping up"".",139,unrelated
"The deal saw McRae earning six million pounds over two years, which at the time made him the highest earning rally driver in history.",140,unrelated
"He said that they had all applied for or had been granted refugee status or other legal residency to remain in the United Kingdom, prior to their capture by US forces.",141,unrelated
"In his first major speech as leader on 28 September, Miliband told delegates that his ""new generation"" would return the party to power.",142,unrelated
He shot one of the assailants in the hand before the rifle malfunctioned; he was then fatally shot in the back by assailant Ricardo Colares Tavares.,143,unrelated
"An apartment or flat costs on average £216,097, more than any other part of Dorset.",144,unrelated
"In October 2004, Chisholm finished recording her third album.",145,unrelated
They clinched the Ligue 1 title on 12 May 2013 with two matches to spare.,146,unrelated
"On 28 April 2011, Besigye was arrested because Museveni said Besigye had attacked first, a charge he denied.",147,unrelated
"The stores were closed, and staff were sent home with their monthly salaries unpaid.",148,unrelated
Josef Goetz.,149,unrelated
"Meshing says 'I am you and you are me', which is rather romantic"".",150,unrelated
Israel clarified that its use of the white phosphorus bombs was permitted under international conventions.,151,unrelated
"The announcement led to a wave of disappointment among the users, resulting in users stopping the submission of their data, refusing to change signatures/avatars and even deleting their accounts.",152,unrelated
"All 157 passengers and 13 crew escaped the aircraft, at least 14 people sustaining minor injuries.",153,unrelated
"According to activists, this protest was faced with Syrian security forces opening fire on the protesters killing three people.",154,unrelated
The 2009 Eisteddfod was notable because the chair was not awarded to any of the entrants as the standard was deemed to be too low.,155,unrelated
"The HUGO findings support the hypothesis that Asia was populated primarily through a single migration event from the south and that the South East Asian region was populated first which contained the most diversity, then continuing slowly North with its diversity being lost.",156,unrelated
"However, when Burnige then stepped down just two months after taking up the post, it was announced on 27 July that Claridge had been sacked after just 36 days, without ever taking charge of the team in a competitive match.",157,unrelated
"Van Barneveld hit two maximum 180s before nailing treble 20, treble 19 and double 12 to complete his nine-darter in the second leg of the sixth set.",158,unrelated
"On 18 July 2009, Allingham died of natural causes aged 113 years and 42 days.",159,unrelated
O'Neil's late handball conceded the penalty for Spurs' winner.,160,unrelated
"Severe budgetary pressures made it uncertain whether these defence projects were to be delayed or curtailed, but it was announced in October 2011 that the Warrior upgrades would proceed at a cost of one billion pounds, extending the service life of the Warrior to 2040 and beyond.",161,unrelated
"Other criticism has come from the Association of Teachers and Lecturers (ATL) which said ""Ofsted is over-reliant on number crunching, using test data which are fundamentally unsound"" and added that the organisation was ""ripe for overhaul"".",162,unrelated
"In 1950, the museum's curator Hermann Braunholtz, declared that although made individually of the 203 plaques acquired by the Museum in 1898, 30 were duplicates; because they were identical representations, he determined that they were superfluous for the museum and were sold.",163,unrelated
"ATOC responded by stating that, as all new vehicles had to be fitted with compliant toilet tanks, with withdrawal of the HSTs by the end of 2017 the problem would be solved.",164,unrelated
"The Rugby Football League admitted the Celtic Crusaders club; now with badge, ground, website and shareholders; on 22 June 2005 during a meeting in Salford.",165,unrelated
The Northern Ireland Executive also agreed a multimillion-pound funding package for the airport on 15 September 2016.,166,unrelated
"They also wrote that the story ""drags awfully,"" and, aside from the Ice Warriors, they criticised the supporting characters.",167,unrelated
"In some places he fired seeds at cliff faces from a shotgun, to give a ‘natural’ spread to his rock plants.",168,unrelated
"Here Ramesses was portrayed as a vengeful tyrant as well as the main antagonist of the film, ever scornful of his father's preference for Moses over ""the son of [his] body"".",169,unrelated
"Brazil's central bank paid back the IMF loan in 2005, although it was not due to be repaid until 2006.",170,unrelated
"In the 21st century, Dalits have been elected to India's highest judicial and political offices.",171,unrelated
"Yeo had earlier excused himself from the committee, on the grounds that he might be ""biased"" if he questioned an employee of a company for which he himself worked, and rejected the claims.",172,unrelated
The plans attracted local opposition.,173,unrelated
Shortly after this the Labour Party NEC's Special Endorsements Panel barred him from standing for election as a Labour Party candidate.,174,unrelated
It is made by touching the shoulder of an outstretched arm with the palm of the other hand.,175,unrelated
Only immature potatoes grown in the restricted geographical area surrounding the town of Comber in Northern Ireland harvested between the start of May and the end of July can be marketed as Comber Earlies.,176,unrelated
"Toshiba announced a new line of stand-alone Blu-ray players as well as drives for PCs and laptops, and subsequently joined the BDA, the industry body which oversees development of the Blu-ray format.",177,unrelated
The blast destroyed the nearby Argana Cafe.,178,unrelated
"Later, Interior Minister Dušan Mihajlović denied that Milošević had been involved in Stambolić's death at Fruška Gora.",179,unrelated
"The plaque remained there for four years, until it was removed by the authorities.",180,unrelated
"In October 2009, the odds returned to 24,000 to 1 with the prize fund interest rate increase.",181,unrelated
It is the first Bank of England banknote to feature two Britons on the reverse: James Watt (another Scotsman) and Matthew Boulton.,182,unrelated
"David Wilson-Johnson took the title role, with Wieslaw Ochman as the Shepherd, Eilene Hannan as Roxana, Martyn Hill as Edrisi, Matthew Best as the Archbishop and Anne Collins as the Archdeaconess.",183,unrelated
Eighty-nine of the 130 passengers and crew on board were killed.,184,unrelated
"In April 2012, the Vice-Mayor and officials from the Haikou Municipal Government made several announcements about developing new docking facilities and hotels within the Crescent Group - on Duncan and Drummond Islands specifically.",185,unrelated
"Whitehouse stated that he was unaware that the character was intended to be a paedophile, nor was he personally aware of Langham obtaining such material for the development of the programme's script.",186,unrelated
The discovery has raised the issue of restricting some forms of fishery to protect the sea bed.,187,unrelated
"They played the New England Revolution in the 2014 MLS Cup and won 2–1 in overtime, thereby becoming five-time champions, a league record.",188,unrelated
"These genes encode neuronal cell-adhesion molecules, implicating these molecules in the mechanism of autism.",189,unrelated
"It was not among the top 10 in a list of the most dangerous roads published in July 2010, despite nine of the top ten being in Northern England.",190,unrelated
The incident prompted a significant increase in the level of security at tour events.,191,unrelated
"The NPD leader in Berlin defended the letters saying that ""As part of a democracy we're entitled to say if something doesn't suit us in this country"".",192,unrelated
When the school closed the pupils were enrolled in the various other schools in Brighton and Hove.,193,unrelated
The mission was a major boost to India's space program.,194,unrelated
"As part of the same ceremony, the RAF's 78 Sqn was disbanded and the Royal Navy's 846 Naval Air Squadron stood-up with the Merlin.",195,unrelated
"Phrases such as ""joey"", ""deacon"", and ""spaz"" became widely used insults amongst children at that time.",196,unrelated
"Her dance routines had been reworked to accommodate her medical condition, with slower costume changes and longer breaks introduced between sections of the show to conserve her strength.",197,unrelated
His worst results were in the west of the country.,198,unrelated
"Under Samaranch, the IOC revamped its sponsorship arrangements (choosing to go with global sponsors rather than allowing each national federation to take local ones), and new broadcasting deals, commercialising the Olympics and making them more economically viable.",199,unrelated
"President Ma Ying-jeou made an official apology in 2008, expressing hope that there will never be a tragedy similar to White Terror.",200,unrelated
About half past one the entire city started to reverberate.,201,unrelated
A major step toward this was getting legislation passed to allow for a national referendum in April 2007.,202,unrelated
However he refused to criticize Barrichello for his outburst.,203,unrelated
"A throne speech is not typical in the devolved legislatures within the United Kingdom, the nearest equivalent being a statement of the legislative agenda of the executive branch usually given by a first minister.",204,unrelated
"In October, around a tenth of Burma's political prisoners were freed in an amnesty and trade unions were legalised.",205,unrelated
The commission inquiring into the mission's apparent failure also apportioned blame towards Pillinger's management of the overall project as a contributing factor.,206,unrelated
Reports indicate slight damage and one casualty.,207,unrelated
"The Yugoslav Partisan movement was able to appeal to all groups, including Serbs, Croats, and Bosniaks.",208,unrelated
A 10-inch (250&#160;mm) water main in the service tunnel provides water to the main tunnels at 125-metre (410&#160;ft) intervals.,209,unrelated
It was the first time a pope paid a visit to a mosque.,210,unrelated
A petition was started to prevent this from occurring.,211,unrelated
Work on the new trains began shortly thereafter with the units entering service from 2011 onwards.,212,unrelated
"Porsche formally announced in a press statement that it did not intend to take over Volkswagen, but intended the move to avoid a competitor's taking a large stake and to stop hedge funds from dismantling VW.",213,unrelated
It was the first time that Ireland had bowled out a county for less than 100.,214,unrelated
This is the first increase in base rate for four years.,215,unrelated
Johnston is opposed to smoking.,216,unrelated
He denied any relation with the LIFG.,217,unrelated
The show was taken off-air for several minutes after six Fathers 4 Justice protesters ran from the audience onto the stage displaying posters.,218,unrelated
British ice hockey was left without coverage from any television network.,219,unrelated
"Straw was recorded describing how he operated ""under the radar"" and had used his influence to change EU rules on behalf of a firm which paid him £60,000 a year.",220,unrelated
"When asked by Johnson why the melody was written in such a high register and not played by the more appropriate French horn, Williams responded that he wanted it to sound ""a little more threatening"".",221,unrelated
Niger's government had eventually suspended the controversial decision to deport Arabs.,222,unrelated
"By May 2010, 21 countries had submitted applications to ICANN, representing 11 languages.",223,unrelated
"Confidence is everything and this will not encourage the long list of celebrity and millionaire customers waiting for their first flight"".",224,unrelated
"He later sued the company and won a £120,000 award.",225,unrelated
"On July 21, 2006, due to heart complications caused by the stress of the upcoming trial, he died in a military hospital after falling into a coma.",226,unrelated
"Peace had been achieved on 23 September by the intervention of the great powers who pushed the two nations to cease fire, afraid the conflict could escalate and draw in other powers.",227,unrelated
"Although this was intended to be a joke, a number of fans petitioned the club to get the kit made for real, and also suggested that funds raised through the sale of the pink shirts should be donated to a breast cancer charity.",228,unrelated
"Butter is generally not included, and some sources advise that the tea should not be served with milk.",229,unrelated
He is also in favour of a return to capital punishment.,230,unrelated
"All passenger trains were diverted via the Bank branch, with several not stopping at stations until they were safely on the Bank branch.",231,unrelated
This slowed during the 2008 economic crisis.,232,unrelated
"In 2010, the lifetime was further extended by another five years, so that generation can continue until 2019.",233,unrelated
"Warner filed a countersuit, alleging that Maverick had lost tens of millions of dollars on its own.",234,unrelated
"The Hilfield Project, which encourages environmental sustainability within the Franciscan ethos of peace, faith and justice, is run from here.",235,unrelated
This brought the total set aside by Trinity Mirror in relation to phone hacking to £12m.,236,unrelated
"Throughout 1990, media reports persisted that Mercury was seriously ill, but the singer continued to deny that these reports were true.",237,unrelated
Such was the clamour to read the fifth book that its English edition became the first English-language book ever to top the bookseller list in France.,238,unrelated
"By May 2010, 21 countries had submitted applications to ICANN, representing 11 scripts.",239,unrelated
Neither the Janata Party nor Charan Singh's Lok Dal won the 54 seats needed for recognition as the official opposition in Parliament.,240,unrelated
"The mountains stretch for some 48,000 square kilometres (19,000 square miles).",241,unrelated
The withdrawal of the last soldier of foreign troops was on the 23rd of December 1956.,242,unrelated
"The then imam, Bukhari commented ""here is anger among our people but I am appealing to them to maintain calm"".",243,unrelated
"He was convicted of tax evasion, money laundering and embezzlement by Russian courts in two cases and imprisoned from July 2003 to January 2014.",244,unrelated
It did not replace Housing Benefit - it is just a different way of calculating entitlement under the existing Housing Benefit scheme: the Local Housing Allowance is based on the 30th percentile of local rented accommodation.,245,unrelated
Rescue workers were using a crane to disentangle the charred remains.,246,unrelated
The meat is stored and eaten throughout the winter.,247,unrelated
"It was, at that time, the most paid at public auction for any musical instrument.",248,unrelated
Leonard Cohen's version was number 36 in the same chart.,249,unrelated
Chad's Church.,250,unrelated
If the show is a success Bourne and Davis have said they would like to take it to the West End.,251,unrelated
"Medics spent 45 minutes attempting to restart his heart, and although he was still alive upon arrival at the stadium's medical centre, he died shortly afterwards.",252,unrelated
"Will you marry him?"" She said she would have done but was in love with someone else.",253,unrelated
They also criticised Britain's ambassador to Lebanon for eulogising him.,254,unrelated
He entered politics in 1997 after his brother's victory and was appointed deputy minister of health.,255,unrelated
The work is expected to last decades.,256,unrelated
"Within days, Fathers 4 Justice had been disbanded.",257,unrelated
"However, some have questioned the ability of the Marshall Islands to enforce this zone.",258,unrelated
There have been repeated discussions about regulating the use of his name and image to avoid trivialization.,259,unrelated
"However, when Warnock was about 15 years old, she began to admire her mother's eccentricity and independent thinking.",260,unrelated
"The party does not have any members of the House of Lords, as it advocates abolition of the upper house.",261,unrelated
"Her ex-boyfriend Jonathan Vass, a paramedic, was later found guilty of her murder.",262,unrelated
It is hoped that this will eventually be restored to operating condition.,263,unrelated
"Thousands of fatalities occur every year in casualties where the cause of unconsciousness was not fatal, but where airway obstruction caused the patient to suffocate.",264,unrelated
"Wigan agreed to pay a fee of £2,500,000 (€3,700,000, 29,500,000 NOK), making it the biggest transfer in Brann's history.",265,unrelated
The club's saviour David Hughes later decided to carry on putting millions into the club.,266,unrelated
The new shopping centre opened on 30 April 2010.,267,unrelated
"When visiting the city in 2011, Erdoğan deemed the statue a ""freak"", and months later it was demolished.",268,unrelated
"He also met Vera Lukić, the pregnant mother whom he had rescued and Zoran, the son she bore two months later.",269,unrelated
"He added that he was still recovering from the operation and when asked what he would do next replied: ""I don't know really"".",270,unrelated
"Soon after, 156 non-Jewish hostages who did not hold Israeli passports were released and flown to safety, while 83 Jews and Israeli citizens, as well as 20 others who refused to abandon them (among whom were the captain and crew of the hijacked Air France jet), continued to be held hostage.",271,unrelated
"He faced much criticism from former Conservative colleagues, particularly when he refused to resign and fight a by-election.",272,unrelated
It closed on 30 September 2005.,273,unrelated
Plymouth reportedly turned down this approach.,274,unrelated
"The later Bill of Rights (1689) included the Oath of Allegiance to the crown, which was required by Magna Carta to be taken by all crown servants and members of the judiciary.",275,unrelated
"Toshiba stated that ""substantial doubt about the company's ability to continue as a going concern exists"".",276,unrelated
On July 1 they announced the cancellation of the tournament.,277,unrelated
Several arrests were made.,278,unrelated
"He only then understood what he had done"".",279,unrelated
"The move is expect to save the council £35 million, with the Trust intending to renew investment in the property.",280,unrelated
"Theroux reported that Westboro was in a state of ""crisis"" and documented the departure of several young members.",281,unrelated
He was due to appear before magistrates in Brighton on 22 August 2013.,282,unrelated
"He scored once for Wolves, in a 2–1 win over Reading on 30 April 2005.",283,unrelated
"He received a five-year sentence for each of these convictions, which were to run consecutively.",284,unrelated
"However, German authorities were quick to rule this out, describing her attacker as confused and possibly mentally disturbed.",285,unrelated
"For example, in India and China, being female is widely considered such a negatively valued human difference that female infanticide occurs such to severely affect the proportion of sexes.",286,unrelated
These proposals were accepted by both forces on 25 February and the merger would have taken place on 1 April 2007.,287,unrelated
"In practice, alcohol-related hospital admissions rose following the change in the law, with alcohol involved in 207,800 admissions in 2006/7.",288,unrelated
"The verdict of the subsequent inquest ruled that Bennett had been ""lawfully killed"", the verdict was upheld in a subsequent appeal.",289,unrelated
Rescuers felt a pulse and heard the unconscious Hammond breathing before the car was turned upright.,290,unrelated
"During a 2001 stopover in Istanbul, The Armenian Navy Band recorded their second album “New Apricot” in 2001.",291,unrelated
In 2010 she was finally able to have her details removed from the database.,292,unrelated
"George Lucas remarked that Sheard produced ""the best screen death"" he had ever seen.",293,unrelated
"An odd number of participants would result in two people having to connect ""both ways"" to complete the chain.",294,unrelated
"A unique signature whistle develops quite early in a dolphin's life, and it appears to be created in an imitation of the signature whistle of the dolphin's mother.",295,unrelated
This allows the airline to save on aircraft costs and enables faster cleaning and security checks during the short turnaround times.,296,unrelated
Wanless said it was impossible to say whether files were removed to cover up abuse.,297,unrelated
"The media was initially told Kubica had broken his leg, but it later proved that he had escaped with only a sprained ankle and concussion.",298,unrelated
Mellor resigned on 24 September 1992.,299,unrelated
"Pemex Director Juan Jose Suarez said that there was ""no evidence that it was a deliberate incident, or some kind of attack"".",300,unrelated
"From 23 May 2009, Ross' BBC Radio 2 show was recorded 24 hours before broadcast.",301,unrelated
The World Bank study finds that the public distribution programmes and social spending contracts have proven to be a waste due to corruption.,302,unrelated
The editor chose the cartoons after consulting the main rabbi in Copenhagen.,303,unrelated
"With e-books, users can browse through titles online, and then when they select and order titles, the e-book can be sent to them online or the user can download the e-book.",304,unrelated
